Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
Bhugol Energy Development Company Limited,2025/26 Q3,322.00,406.42,3.90,0.63%,1.29%,-11.03%,-40.26%,-56.56%,"1,751,851,948.00","544,053.40","-283,542.36","49,435.87","43,175.89",-508.41,0.00,78.33%,4.40%,73.93%,-0.69%,-40.05%,82.10%,2.54%,79.57%,36.72%,-18.22%,-0.26%,-5.27%,-4.11%,-0.09%,-1.79%,-1.40%,-0.12,-2.53,-2.01,-0.12,47.88,"-2,584.30","-2,584.30",-126.77,-160.03,6.72,366.15%,366.15%,75.00%,296.34%,1.14,0.94,-2.69%,-3.84%,-18.14%,-26.16%,7.21%,-1.65%,-436.97%,37.64%,43.23,-10.60%,-28.02%,-57.66%,1.80
Dolti Power Company Limited,2025/26 Q3,320.00,402.83,-2.00,0.00%,-0.31%,-7.91%,-37.01%,-44.45%,"1,716,755,200.00","536,486.00","-222,418.38","78,041.69","67,725.49","3,337.32",0.00,80.58%,4.23%,76.35%,21.78%,-33.56%,84.92%,3.99%,80.93%,43.49%,-13.00%,1.40%,-6.80%,-3.80%,0.48%,-2.32%,-1.28%,0.82,-4.01,-2.26,0.82,58.54,385.80,385.80,-79.68,-141.10,5.46,94.43%,94.43%,77.09%,292.25%,1.16,1.20,-2.65%,-3.78%,-19.37%,-27.90%,4.36%,-1.13%,-385.84%,39.77%,41.31,-6.45%,-24.75%,-46.98%,1.31
City Hotel Limited,2025/26 Q3,374.00,430.86,-16.00,1.96%,2.78%,-7.20%,-21.28%,-33.50%,"6,260,760,000.00","3,013,200.00","-81,982.91","376,023.98","82,570.43","-138,746.75",0.00,21.86%,19.96%,21.86%,-3.86%,-34.48%,26.79%,19.71%,26.79%,0.66%,-37.92%,-6.27%,-5.13%,-7.54%,-3.27%,-2.67%,-2.89%,-6.13,-5.01,-5.43,-6.13,97.27,-60.91,-60.91,-74.51,-68.75,3.84,236.00%,231.24%,48.02%,192.37%,1.05,1.25,-2.17%,-3.11%,-25.37%,-36.85%,4.75%,-0.81%,-586.42%,28.13%,48.05,-7.34%,-16.75%,-42.37%,3.04
Menchhiyam Hydropower Limited,2025/26 Q3,280.10,345.58,-1.90,-0.67%,2.19%,-10.22%,-35.09%,-47.56%,"1,519,775,823.30","542,583.30","-672,105.00","103,750.04","101,349.98","3,770.51",0.00,98.00%,14.80%,83.19%,24.04%,-49.36%,98.22%,6.62%,91.59%,54.05%,5.63%,-4.05%,34.05%,-18.18%,0.48%,-4.02%,0.74%,0.92,-7.79,1.39,0.92,-23.87,302.30,302.30,-35.92,200.70,-11.73,41.20%,41.20%,142.60%,-806.85%,1.05,0.72,-2.16%,-3.07%,-14.93%,-21.42%,4.55%,-1.24%,-366.94%,45.10%,42.31,-8.08%,-24.97%,-48.47%,1.40
Ingwa Hydropower Limited,2025/26 Q3,348.00,433.09,-6.00,0.26%,0.00%,-12.12%,-38.43%,-38.88%,"2,088,000,000.00","600,000.00","-13,645.37","218,138.03","179,338.51","11,871.12",0.00,77.00%,4.70%,72.35%,38.88%,-2.60%,87.14%,8.02%,80.00%,52.85%,14.38%,2.70%,-1.12%,7.79%,0.72%,-0.30%,2.13%,2.63,-1.09,7.44,2.63,97.72,131.91,131.91,-318.15,46.76,3.56,93.39%,68.33%,83.08%,376.11%,1.03,1.06,-2.19%,-3.13%,-15.28%,-22.02%,4.52%,-0.95%,-475.79%,39.45%,40.40,-7.68%,-22.48%,-44.13%,1.02
Himalayan Life Insurance Limited,2025/26 Q3,319.90,348.10,-0.10,-1.36%,-0.03%,-5.05%,-13.33%,-21.22%,"29,249,216,122.70","9,143,237.30","996,313.87","17,345,836.39","1,567,517.52","261,444.37",0.00,8.47%,5.96%,4.46%,4.30%,0.92%,9.20%,3.78%,4.32%,4.01%,1.44%,3.45%,2.16%,3.44%,0.35%,0.22%,0.37%,3.81,2.39,3.78,3.81,100.44,83.90,83.90,133.66,84.58,2.88,0.00%,0.00%,90.79%,1085.94%,1.24,1.05,-1.54%,-2.19%,-10.78%,-15.03%,2.86%,-0.50%,-572.00%,61.95%,37.77,-2.48%,-7.97%,-22.94%,-0.38
Modi Energy Limited,2025/26 Q3,214.60,252.44,2.40,-1.11%,0.42%,-5.09%,-19.78%,-29.93%,"6,223,400,000.00","2,900,000.00","-1,199,953.00","347,219.00","303,072.00","-67,668.00",0.00,89.27%,0.29%,88.98%,35.76%,-4.13%,87.61%,0.78%,87.27%,30.27%,-18.65%,-5.30%,-1.23%,-5.05%,-1.77%,-0.41%,-1.74%,-3.11,-0.71,-3.02,-3.11,58.62,-68.97,-68.97,-298.34,-70.86,3.66,63.83%,63.83%,72.38%,297.62%,1.22,1.09,-1.86%,-2.65%,-13.45%,-19.10%,3.97%,-0.73%,-543.84%,53.81%,38.78,-5.59%,-14.32%,-31.66%,0.38
Rawa Energy Development Limited,2025/26 Q3,425.90,584.43,-6.10,-0.49%,1.40%,-29.37%,-39.93%,-45.33%,"1,192,520,000.00","280,000.00","-42,744.21","80,893.57","70,702.54","26,811.95",0.00,86.48%,8.67%,77.81%,49.83%,20.32%,86.74%,7.01%,79.72%,56.77%,29.89%,15.21%,7.42%,13.99%,5.57%,2.72%,4.99%,12.76,6.23,11.10,12.76,84.73,33.35,33.35,68.34,38.33,5.02,217.58%,184.30%,65.78%,267.84%,0.78,0.63,-2.02%,-2.89%,-12.39%,-18.12%,3.72%,-1.17%,-317.95%,42.75%,38.89,-25.18%,-27.27%,-48.99%,2.55
Samaj Laghubittya Bittiya Sanstha Limited,2024/25 Q4,"1,875.80","2,477.01",-166.80,0.00%,0.00%,0.00%,0.00%,-36.76%,"428,620,300.00","22,850.00","36,295.89","57,637.03","24,392.43","14,190.94",0.00,43.88%,75.61%,0.00%,-22.04%,68.08%,42.32%,76.82%,0.00%,-24.32%,24.62%,24.45%,70.77%,26.69%,2.71%,7.83%,2.90%,62.10,179.76,62.10,62.10,258.84,30.20,30.20,10.43,30.20,7.24,22.75%,30.05%,89.08%,915.83%,-1.10,0.79,-58.15%,-82.99%,-64.09%,-98.50%,12.71%,-4.47%,-284.34%,99.57%,16.88,4.66%,-5.01%,-36.76%,-93.08
United Ajod Insurance Limited,2025/26 Q3,441.40,459.08,0.40,-1.47%,1.94%,4.45%,9.65%,-12.24%,"10,196,340,000.00","2,310,000.00","54,977.96","1,262,868.40","371,348.09","-69,790.48",0.00,39.68%,25.62%,14.06%,11.21%,7.66%,42.16%,29.63%,9.81%,4.28%,1.61%,-3.99%,6.31%,1.31%,-1.26%,2.00%,0.41%,-4.02,6.37,1.32,-3.51,174.73,-125.69,-109.57,69.19,334.08,1.91,0.00%,0.00%,48.40%,193.79%,1.27,1.21,-1.88%,-2.66%,-14.33%,-20.09%,3.31%,-0.25%,-1324.00%,64.49%,45.50,1.25%,4.89%,-12.41%,-0.90
Nepal Republic Media Limited,2025/26 Q3,310.50,378.78,3.50,-0.80%,-1.80%,-17.22%,-25.14%,-34.00%,"3,004,087,500.00","967,500.00","-137,570.09","77,252.50","38,895.72","-29,376.30",-,48.86%,68.12%,-18.47%,-36.46%,-65.33%,50.89%,46.68%,4.98%,-7.86%,-26.45%,-4.69%,-5.62%,-3.84%,-3.27%,-3.92%,-2.68%,-4.04,-4.85,-3.36,-4.04,85.78,-76.69,-76.69,-63.94,-92.24,3.61,215.37%,197.72%,30.16%,143.19%,1.34,1.53,-2.25%,-3.20%,-19.48%,-27.99%,4.76%,-0.81%,-587.65%,49.92%,40.69,-18.66%,-17.21%,-44.85%,-0.13
IME Life Insurance Company Limited,2025/26 Q3,411.20,436.19,-4.60,-2.10%,-1.13%,-5.45%,-6.55%,-8.27%,"20,560,000,000.00","5,000,000.00","520,844.71","6,125,743.58","1,062,367.32","367,916.11",0.00,15.79%,10.92%,5.34%,4.65%,4.52%,18.69%,6.94%,8.36%,7.56%,6.97%,8.96%,7.10%,10.48%,2.06%,1.63%,2.63%,9.81,7.78,11.69,9.81,131.48,41.91,41.91,52.84,35.15,3.72,0.00%,0.00%,73.38%,375.60%,1.00,0.91,-1.18%,-1.68%,-9.28%,-13.14%,2.59%,-0.17%,-1523.53%,77.42%,38.76,-2.52%,-3.16%,-14.33%,-0.11
Ghorahi Cement Industry Limited,2025/26 Q3,350.00,405.06,-3.00,-2.72%,6.67%,-16.07%,-15.07%,-23.81%,"15,986,899,950.00","5,024,454.27","3,451,758.41","3,578,649.86","953,962.82","-158,668.16",0.00,35.91%,3.52%,32.39%,21.05%,7.18%,25.16%,4.48%,26.66%,13.56%,-5.16%,-2.51%,5.04%,-3.10%,-0.96%,1.94%,-1.18%,-4.21,8.45,-5.26,-4.21,168.69,-83.12,-83.12,41.38,-66.44,2.07,83.20%,47.66%,61.39%,259.01%,1.21,1.07,-1.71%,-2.42%,-12.87%,-18.19%,3.43%,-0.54%,-635.19%,74.13%,41.90,-12.89%,-9.02%,-26.47%,1.08
Three Star Hydropower Limited,2025/26 Q3,372.20,590.35,0.20,0.05%,6.65%,-37.65%,-48.50%,-56.10%,"1,833,085,000.00","492,500.00","-192,134.11","98,028.85","54,602.21","-33,911.14",0.00,29.42%,7.15%,22.27%,-42.00%,-124.43%,67.44%,6.27%,61.17%,27.31%,-22.74%,-14.51%,-28.98%,-9.24%,-3.79%,-7.57%,-2.48%,-9.18,-18.33,-6.16,-9.18,60.98,-40.54,-40.54,-20.29,-60.32,6.10,22.64%,22.64%,88.35%,394.87%,0.89,1.85,-3.02%,-4.30%,-23.36%,-33.87%,6.67%,-1.61%,-414.29%,40.17%,38.80,-34.52%,-30.37%,-58.64%,8.28
Upper Syange Hydropower Limited,2025/26 Q3,539.00,635.58,-26.90,-0.74%,11.71%,-14.84%,-36.43%,-22.95%,"1,185,800,000.00","220,000.00","-9,378.76","55,300.99","53,024.59","8,585.48",0.00,93.92%,14.02%,79.90%,54.42%,20.67%,95.92%,22.87%,267.04%,241.40%,150.49%,5.48%,6.69%,53.80%,2.11%,2.57%,19.27%,5.20,6.35,45.97,5.20,95.73,103.58,103.58,84.80,11.72,5.63,269.77%,86.41%,71.39%,256.03%,0.83,0.55,-2.24%,-3.22%,-14.43%,-21.29%,4.26%,-0.49%,-869.39%,52.34%,48.61,-11.78%,-19.29%,-42.66%,5.75
Kutheli Bukhari Small Hydropower Limited,2025/26 Q3,970.00,"1,498.09",35.00,4.19%,-25.44%,-37.42%,-42.60%,-46.90%,"1,300,326,710.00","147,459.67","44,534.82","26,918.12","24,939.99","10,986.96",0.00,91.24%,18.84%,79.13%,45.62%,35.71%,91.72%,18.94%,74.43%,41.80%,32.03%,7.67%,5.58%,5.26%,6.92%,5.04%,4.61%,9.93,7.23,6.66,9.93,130.20,97.64,97.64,134.10,145.58,7.45,845.53%,845.53%,9.71%,109.84%,1.02,1.15,-2.75%,-3.94%,-16.52%,-24.32%,4.14%,-1.21%,-342.15%,9.98%,28.35,-34.31%,-16.03%,-46.90%,-2.91
Reliable Nepal Life Insurance Limited,2025/26 Q3,432.50,463.03,16.50,-2.13%,-3.82%,-5.57%,-6.83%,-7.09%,"22,476,160,000.00","5,196,800.00","683,021.34","5,514,498.89","1,084,193.90","470,417.33",0.00,6.08%,10.21%,5.03%,4.51%,4.21%,18.74%,9.02%,9.32%,8.76%,7.76%,10.73%,5.10%,9.66%,2.62%,1.25%,2.53%,12.06,5.73,11.06,12.06,146.16,35.83,35.83,75.38,39.10,3.82,0.00%,0.00%,68.87%,321.22%,1.16,1.09,-1.38%,-1.96%,-10.73%,-15.56%,3.13%,-0.17%,-1841.18%,73.65%,34.26,-2.73%,-1.99%,-16.86%,-1.29
Sun Nepal Life Insurance Company Limited,2025/26 Q3,415.30,452.24,-3.70,-2.97%,-1.84%,-7.51%,-11.26%,-6.62%,"20,894,706,496.00","5,282,793.60","306,409.62","4,168,670.89","994,102.52","340,023.14",0.00,9.52%,12.72%,-1.62%,-2.17%,4.17%,26.47%,10.80%,9.89%,9.14%,10.07%,8.12%,3.91%,9.80%,2.36%,1.14%,3.01%,8.58,4.13,10.47,8.58,141.37,48.39,48.39,100.44,39.63,3.92,0.00%,0.00%,61.94%,262.75%,1.10,1.10,-1.35%,-1.92%,-10.19%,-14.97%,2.97%,-0.13%,-2284.62%,83.39%,31.01,-4.13%,-3.01%,-17.27%,-1.33
Upper Lohore Khola Hydropower Company Limited,2025/26 Q3,407.20,474.91,57.20,19.73%,6.88%,-17.74%,-11.29%,-16.11%,"2,075,921,888.00","509,804.00","-33,128.39","56,219.67","42,369.77","-4,127.97",0.00,91.65%,3.65%,88.00%,-0.19%,-54.46%,75.36%,1.45%,73.91%,22.22%,-4.91%,-1.15%,-5.06%,0.00%,-0.53%,-2.32%,0.00%,-1.07,-4.75,-0.54,-1.07,93.50,-377.16,-377.16,-85.55,-751.30,4.35,1033.66%,45.90%,65.51%,218.56%,1.01,0.57,-2.36%,-3.38%,-12.09%,-17.62%,6.50%,-0.36%,-1805.56%,0.24%,58.66,-15.81%,-13.23%,-30.69%,5.46
Manakamana Engineering Hydropower Limited,2025/26 Q4,297.00,388.47,-11.00,-2.94%,-5.41%,-20.80%,-30.44%,-33.16%,"2,376,000,000.00","800,000.00","-282,673.25","145,562.10","120,429.64","13,876.18",0.00,78.86%,2.70%,76.82%,44.98%,16.20%,82.73%,6.17%,78.05%,43.09%,9.53%,2.70%,5.05%,2.70%,1.12%,2.09%,1.11%,1.73,3.23,1.73,1.73,64.66,171.22,171.22,91.77,171.22,4.59,154.84%,154.84%,61.17%,239.25%,1.12,0.92,-2.12%,-3.03%,-14.86%,-21.52%,4.34%,-0.81%,-535.80%,69.23%,31.36,-18.50%,-17.56%,-42.77%,1.33
Citizen Life Insurance Company Limited,2025/26 Q3,440.10,459.79,-1.90,-0.95%,-0.88%,-2.80%,-5.76%,-5.81%,"22,005,000,000.00","5,000,000.00","470,963.80","7,569,078.65","1,085,164.21","360,044.09",0.00,14.35%,9.01%,5.34%,4.97%,4.97%,13.74%,7.71%,4.78%,4.17%,4.09%,8.87%,9.50%,7.37%,1.56%,1.67%,1.47%,9.60,10.28,8.54,9.60,131.16,45.83,45.83,42.80,51.48,4.02,0.00%,0.00%,79.37%,484.75%,1.07,1.08,-1.33%,-1.90%,-10.39%,-15.18%,3.35%,-0.13%,-2576.92%,59.67%,41.92,0.44%,-2.20%,-12.33%,-0.72
Hathway Investment Nepal Limited,2025/26 Q3,685.90,818.97,4.90,-3.67%,-0.58%,-14.16%,-22.67%,-38.02%,"19,420,572,600.00","1,585,584.00","553,110.49","117,040.51","109,902.61","22,610.40",0.00,60.80%,0.00%,60.80%,60.80%,17.40%,39.35%,0.00%,39.35%,39.35%,22.74%,1.41%,0.59%,2.25%,1.10%,0.46%,1.76%,0.95,0.39,1.52,0.95,67.44,721.49,721.49,"1,716.80",450.39,10.17,238.01%,238.01%,21.95%,128.12%,1.40,2.19,-2.25%,-3.23%,-26.43%,-39.34%,3.46%,-0.93%,-372.04%,79.08%,38.21,-12.10%,-14.74%,-39.30%,-2.56
Mandu Hydropower Limited,2025/26 Q4,806.00,820.67,-4.00,-1.23%,0.75%,-0.98%,1.64%,-10.85%,"10,990,914,220.00","1,363,637.00","686,873.25","794,934.70","733,506.23","318,551.20",0.00,86.92%,5.42%,81.51%,58.40%,32.05%,92.27%,5.40%,86.87%,65.72%,40.07%,14.49%,12.79%,15.42%,6.18%,5.45%,6.43%,23.36,20.61,23.36,23.36,162.88,34.50,34.50,39.09,34.50,4.94,617.70%,196.99%,58.67%,231.49%,0.72,0.94,-1.85%,-2.66%,-12.77%,-19.07%,2.69%,-0.22%,-1222.73%,64.63%,45.96,3.55%,0.18%,-10.85%,-0.84
Bhagawati Hydropower Development Company Limited,2025/26 Q3,557.00,678.92,-16.00,-6.70%,-0.54%,-17.97%,-27.19%,-31.16%,"3,313,856,461.00","678,239.90","85,918.54","129,217.98","111,273.44","56,770.29",0.00,88.01%,6.46%,81.56%,66.36%,53.53%,82.58%,10.69%,71.99%,55.88%,43.84%,10.07%,13.58%,11.00%,8.02%,10.81%,8.87%,11.16,15.04,11.90,11.16,112.66,49.90,49.90,37.02,46.79,4.94,1537.85%,714.09%,23.04%,125.13%,0.64,0.52,-1.96%,-2.80%,-14.69%,-21.80%,4.26%,-0.73%,-583.56%,92.75%,40.71,-12.45%,-15.82%,-34.93%,1.52
Mid Solu Hydropower Limited,2025/26 Q3,609.00,710.62,3.00,1.08%,1.50%,-10.63%,-27.50%,-21.67%,"4,557,756,000.00","748,400.00","253,506.78","199,973.83","178,437.40","102,817.48",0.00,90.88%,1.65%,89.23%,65.54%,40.28%,89.56%,5.78%,109.48%,85.34%,53.86%,13.88%,11.42%,15.82%,6.30%,5.19%,6.86%,18.31,15.08,19.75,15.92,133.87,38.23,33.24,40.38,30.83,4.54,659.91%,633.86%,56.04%,217.47%,0.90,1.11,-2.36%,-3.39%,-14.79%,-22.13%,2.57%,-0.48%,-535.42%,27.32%,43.93,-9.45%,-14.14%,-30.32%,1.92
Sonapur Minerals And Oil Limited,2025/26 Q3,403.00,436.83,0.00,-1.42%,-0.81%,-8.49%,-4.37%,-12.54%,"12,392,451,500.00","3,075,050.00","2,989,715.48","3,043,812.17","881,394.74","226,134.70",0.00,30.20%,2.58%,27.62%,24.61%,13.22%,33.11%,3.99%,17.44%,13.72%,7.89%,5.05%,11.96%,5.24%,2.06%,4.88%,2.18%,9.80,23.23,10.02,9.80,197.22,41.10,41.10,17.34,40.20,2.04,194.17%,73.43%,58.17%,239.04%,1.36,1.23,-2.03%,-2.89%,-14.56%,-21.36%,2.79%,-0.28%,-996.43%,65.99%,38.18,-4.55%,-2.20%,-19.79%,-0.33
Mathillo Mailun Khola Jalvidhyut Limited,2025/26 Q3,458.00,516.87,-19.90,-5.57%,-0.22%,-6.34%,-25.50%,-21.29%,"4,580,000,000.00","1,000,000.00","-20,618.95","327,496.69","290,062.01","84,612.86",0.00,84.78%,45.29%,39.49%,39.49%,-1.41%,86.69%,34.40%,52.29%,52.29%,15.25%,11.51%,-0.43%,6.26%,3.72%,-0.14%,1.97%,11.28,-0.41,5.92,11.28,97.93,40.59,40.59,"-1,096.60",77.34,4.67,603.07%,437.36%,69.94%,310.37%,0.69,1.00,-2.01%,-2.90%,-13.76%,-20.36%,4.36%,-0.46%,-947.83%,88.66%,40.47,-2.44%,-12.60%,-32.15%,0.83
Trishuli Jal Vidhyut Company Limited,2025/26 Q3,475.10,544.05,4.10,-0.23%,-1.43%,-7.08%,21.35%,-1.78%,"8,801,227,500.00","1,789,162.77","-389,663.27",0.00,0.00,"-94,033.03",0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-8.86%,-8.91%,-7.32%,-2.14%,-2.15%,-1.92%,-7.00,-7.04,-5.96,-7.00,78.22,-67.79,-67.79,-67.41,-79.61,6.07,449.47%,46.15%,104.86%,433.65%,1.07,0.46,-2.28%,-3.25%,-19.46%,-28.21%,5.62%,-0.05%,-11240.00%,51.28%,44.99,-8.15%,-1.55%,-29.72%,-0.19
Muktinath Krishi Company Limited,2025/26 Q3,"1,062.00","1,265.29",-13.00,-5.18%,-1.85%,-15.45%,-21.91%,-31.75%,"7,434,000,000.00","756,000.00","28,342.98","467,904.98","86,951.24","-19,762.75",-,17.05%,28.98%,-11.91%,-15.23%,-21.18%,21.32%,16.81%,17.91%,14.87%,8.30%,-3.28%,-18.67%,7.52%,-1.95%,-11.12%,4.54%,-3.48,-19.83,7.71,-3.48,103.74,-304.69,-304.69,-53.53,137.66,10.23,159.88%,137.66%,0.00%,178.89%,1.28,1.23,-2.40%,-3.47%,-42.54%,-62.76%,3.04%,-0.75%,-405.33%,93.36%,34.08,-14.89%,-12.74%,-34.31%,-4.85
Vision Lumbini Urja Company Limited,2025/26 Q3,419.00,504.19,3.90,-4.34%,-2.33%,-11.44%,-25.78%,-31.71%,"8,013,375,000.00","1,912,500.00","530,247.15","389,315.48","356,472.09","-100,566.88",0.00,88.29%,8.83%,79.53%,39.22%,-12.80%,87.24%,11.32%,76.14%,32.57%,-30.63%,-5.47%,-2.83%,-6.31%,-2.04%,-1.05%,-2.31%,-7.01,-3.62,-8.28,-7.01,127.72,-59.76,-59.76,-115.51,-50.58,3.28,2642.46%,2642.46%,62.44%,265.39%,1.05,0.98,-1.79%,-2.55%,-11.37%,-15.97%,3.67%,-0.74%,-495.95%,84.27%,34.77,-10.68%,-13.87%,-33.07%,-1.10
Chirkhwa Hydropower Limited,2025/26 Q3,578.20,663.02,3.00,-1.67%,-0.72%,-10.15%,-13.05%,-13.61%,"2,312,800,000.00","400,000.00","-39,322.93","101,166.25","86,984.79","12,903.51",0.00,68.22%,8.77%,59.45%,-59.60%,-119.08%,83.36%,6.62%,76.74%,41.18%,2.13%,4.63%,-23.87%,0.70%,1.62%,-8.34%,0.24%,4.30,-22.18,0.64,4.30,90.16,134.42,134.42,-26.06,893.26,6.41,42.12%,42.08%,76.52%,291.49%,0.81,0.52,-1.94%,-2.79%,-10.60%,-15.44%,4.29%,-0.28%,-1532.14%,62.79%,42.27,-10.06%,-5.35%,-25.30%,0.50
Nepal Warehousing Company Limited,2025/26 Q3,696.90,799.76,15.60,-2.12%,-3.68%,-11.34%,-13.96%,-22.90%,"4,791,187,500.00","687,500.00","-6,227.78","95,506.61","32,234.26","-35,695.75",-,18.61%,11.52%,7.17%,-7.49%,-27.83%,11.13%,5.21%,6.03%,-1.45%,-6.24%,-6.91%,-8.57%,-3.88%,-2.76%,-3.42%,-1.40%,-6.92,-8.58,-3.49,-6.92,99.09,-100.66,-100.66,-81.14,-199.42,7.03,711.81%,711.81%,0.00%,252.53%,1.30,1.07,-2.39%,-3.43%,-38.17%,-55.83%,4.15%,-0.53%,-783.02%,65.10%,36.40,-9.41%,-8.34%,-31.68%,-1.28
Himalayan Reinsurance Limited,2025/26 Q3,584.00,699.70,-33.00,-2.18%,4.29%,-6.71%,-30.37%,-41.77%,"63,469,120,000.00","10,868,000.00","691,613.98","4,728,155.20","160,596.95","-44,352.83",0.00,-123.69%,-1.77%,-121.92%,-123.06%,-68.58%,11.16%,6.51%,4.64%,4.05%,4.92%,-0.35%,-16.58%,2.13%,-0.23%,-10.79%,1.44%,-0.54,-25.46,3.28,-0.54,150.17,"-1,073.33","-1,073.33",-22.93,177.95,3.88,0.00%,0.00%,36.66%,157.87%,1.21,1.61,-1.99%,-2.85%,-17.23%,-24.68%,4.49%,-1.06%,-423.58%,60.02%,43.43,-12.39%,-19.25%,-44.65%,-0.55
Sarbottam Cement Limited,2025/26 Q3,783.00,844.97,2.00,-0.89%,-1.26%,-6.67%,-10.54%,-10.70%,"38,958,165,000.00","5,224,275.00","5,013,002.33","7,195,913.37","1,947,195.32","905,813.24",0.00,26.17%,9.25%,16.92%,16.92%,12.28%,27.48%,8.71%,8.53%,8.53%,13.11%,12.01%,14.62%,13.03%,7.50%,9.13%,8.45%,23.11,28.13,25.02,23.11,195.95,33.86,33.86,27.83,31.28,3.99,109.84%,72.44%,38.15%,161.67%,0.93,0.65,-1.83%,-2.60%,-8.00%,-11.47%,2.80%,-0.25%,-1120.00%,59.04%,40.81,-4.29%,-3.82%,-15.26%,0.91
Nerude Mirmire Laghubitta Bittiya Sanstha Limited,2025/26 Q3,516.00,594.36,4.00,-0.77%,-1.71%,-12.24%,-19.35%,-30.83%,"7,212,463,788.00","1,397,764.27","1,119,638.57","1,782,447.92","898,298.57","43,833.10",0.00,42.65%,65.65%,0.00%,-11.63%,-6.74%,52.27%,48.79%,0.00%,13.45%,9.53%,2.13%,-5.00%,8.55%,0.28%,-0.65%,1.12%,4.18,-9.82,17.16,4.18,180.10,123.40,123.40,-52.54,30.05,2.86,3.00%,14.03%,88.02%,834.78%,1.21,1.12,-1.90%,-2.69%,-13.65%,-18.75%,2.99%,-0.70%,-427.14%,50.93%,33.42,-12.52%,-9.54%,-30.83%,-0.71
Matribhumi Lagubitta Bittiya Sanstha Limited,2025/26 Q3,812.20,910.46,2.10,-2.13%,-1.67%,-9.15%,-19.42%,-32.16%,"5,103,518,802.80","628,357.33","202,943.82","991,472.85","415,633.60","71,230.47",0.00,44.53%,34.84%,0.00%,19.01%,10.27%,40.18%,43.30%,0.00%,5.56%,4.28%,11.99%,18.11%,5.52%,0.74%,1.12%,0.45%,15.11,22.84,9.04,15.11,132.29,53.73,53.73,35.55,89.80,6.13,-2.69%,35.01%,93.50%,1539.54%,0.99,1.32,-2.18%,-3.09%,-16.57%,-23.32%,2.48%,-0.76%,-326.32%,71.38%,38.58,-7.01%,-8.48%,-32.59%,-2.43
Sampada Laghubitta Bittiya Sanstha Limited,2025/26 Q3,750.00,838.46,-25.00,-2.46%,-4.46%,-11.03%,-15.16%,-26.11%,"5,256,438,000.00","700,858.34","420,825.43","1,009,153.77","571,152.65","132,475.74",0.00,62.22%,53.01%,0.00%,18.27%,12.79%,50.95%,47.91%,0.00%,12.70%,8.65%,15.84%,16.66%,9.33%,1.63%,1.72%,0.98%,25.20,26.50,15.08,25.20,160.04,29.75,29.75,28.29,49.70,4.68,3.81%,12.37%,89.77%,977.62%,0.95,0.69,-1.92%,-2.73%,-13.37%,-18.71%,3.31%,-0.62%,-533.87%,71.39%,38.23,-7.11%,-7.64%,-29.58%,0.30
Guardian Micro Life Insurance Limited,2025/26 Q3,"1,104.00","1,411.86",-13.00,-2.91%,-3.99%,-13.74%,-35.81%,-46.48%,"8,280,000,000.00","750,000.00","28,866.15","408,768.40","71,105.49","14,583.89",0.00,27.25%,18.31%,3.26%,2.25%,0.97%,23.22%,14.21%,8.98%,7.88%,7.53%,2.50%,0.68%,6.08%,1.56%,0.43%,4.16%,2.59,0.70,6.31,2.59,107.08,425.81,425.81,"1,556.20",174.91,10.63,0.00%,0.00%,36.32%,157.04%,0.81,-1.75,-2.80%,-4.04%,-56.13%,-81.81%,3.31%,-1.26%,-262.70%,69.52%,31.04,-12.81%,-23.15%,-48.98%,-4.72
