Company,Latest Report,Latest Close,180 Day Avg,Day's Price Change,1 Wk Price Chg %,4 Wk Price Chg %,12 Wk Price Chg %,YTD Price Chg %,1 Year Price Chg %,Market Cap,Paidup Capital,Reserves & Surplus,Revenue,Gross Profit,Net Income,Distributable Profit,Gross Margin MRQ %,SG&A Margin MRQ %,EBITDA Margin MRQ %,EBIT Margin MRQ %,Net Profit Margin MRQ %,Gross Margin TTM %,SG&A Margin TTM %,EBITDA Margin TTM %,EBIT Margin TTM %,Net Profit Margin TTM %,ROE (F) %,ROE (MRQ) %,ROE (TTM) %,ROA (F) %,ROA (MRQ) %,ROA (TTM)%,EPS (F),EPS (MRQ),EPS (TTM),EPS (D),Bookvalue,PE (D),PE (F),PE (MRQ),PE (TTM),PBV,Current Ratio,Quick Ratio,Debt to Asset,Equity Multiplier,Beta Weekly,Beta Monthly,VaR 1 Week @ 5%,VaR 1 Week @ 1%,VaR 1 Month @ 5%,VaR 1 Month @ 1%,"S.D of Returns [Wk, 1Y]%","Mean Returns [Wk, 1Y]%","Estimated Risk Return Trade Off [Wk, 1Y]%","Historical Probability of Current Returns [Wk, 1Y]%",RSI,Relative Strength %,50 day MA vs 200 day MA %,Price Vs 52 Week High %,MACD Crossover
Sayapatri Hydropower Limited,2025/26 Q3,520.00,550.77,-2.10,-2.99%,-4.74%,3.52%,-4.24%,-20.20%,"1,560,000,000.00","300,000.00","-16,098.10","46,523.36","42,354.42","11,372.96",0.00,83.37%,24.61%,58.76%,-20.62%,-73.52%,86.39%,14.59%,72.37%,38.06%,10.98%,5.30%,-6.28%,2.15%,3.10%,-3.68%,1.24%,5.05,-5.99,2.02,5.05,94.63,102.87,102.87,-86.80,256.39,5.49,171.80%,141.28%,47.92%,171.39%,0.87,0.53,-2.12%,-3.04%,-13.41%,-19.73%,4.22%,-0.44%,-959.09%,73.03%,37.12,4.85%,3.79%,-20.35%,1.12
Dhaulagiri Laghubitta Bittiya Sanstha Limited,2025/26 Q3,"1,182.10","1,294.03",-32.90,-0.66%,-1.49%,-10.65%,-10.05%,-26.08%,"1,573,375,100.00","133,100.00","64,817.49","218,679.35","109,749.17","18,255.50",0.00,44.05%,44.16%,0.00%,13.44%,9.72%,52.00%,50.70%,0.00%,12.65%,9.07%,11.16%,11.04%,12.74%,0.97%,0.96%,1.10%,18.28,18.10,21.19,18.28,148.69,64.63,64.63,65.29,55.77,7.94,-1.30%,19.15%,92.08%,1262.95%,1.07,1.38,-2.71%,-3.89%,-50.28%,-74.39%,4.74%,-0.60%,-790.00%,50.59%,43.81,-4.41%,-5.06%,-26.22%,-0.14
Sikles Hydropower Limited,2025/26 Q3,560.00,594.36,1.70,0.25%,1.47%,-2.83%,-1.41%,-39.77%,"4,760,000,000.00","977,500.00","120,056.26","259,509.79","235,666.68","119,491.50",0.00,92.22%,10.72%,81.52%,42.20%,24.75%,88.10%,7.20%,81.17%,52.53%,34.53%,15.51%,5.26%,10.80%,8.32%,2.82%,5.57%,16.29,5.52,11.31,16.29,112.28,34.35,34.35,101.30,49.51,4.98,220.66%,220.66%,47.62%,180.20%,1.04,1.04,-2.11%,-3.02%,-16.07%,-23.53%,5.39%,-1.15%,-468.70%,39.75%,47.09,-0.75%,-3.17%,-45.15%,0.82
Eastern Hydropower Limited,2025/26 Q3,344.00,393.32,-21.20,0.15%,-2.27%,-9.23%,-11.79%,-43.93%,"2,132,800,000.00","620,000.00","-138,093.18","118,457.96","107,884.40","29,857.24",0.00,85.66%,6.51%,79.26%,36.30%,-2.99%,91.26%,2.89%,88.39%,54.11%,18.91%,8.25%,-0.71%,5.78%,3.77%,-0.32%,2.56%,6.42,-0.55,4.36,6.42,77.72,53.57,53.57,-624.66,78.78,4.42,258.72%,258.72%,58.45%,217.82%,1.31,0.64,-2.49%,-3.55%,-17.18%,-24.64%,4.59%,-1.15%,-399.13%,38.85%,42.76,-7.81%,-10.62%,-44.35%,1.60
Peoples Hydropower Company Limited,2025/26 Q3,297.50,307.88,-1.50,-0.83%,1.26%,-2.81%,12.26%,-40.82%,"9,520,000,000.00","3,200,000.00","7,453.01","829,478.86","492,799.51","3,818.72",0.00,50.99%,8.46%,49.94%,49.94%,0.49%,55.65%,9.06%,51.56%,51.56%,-1.79%,0.16%,0.16%,-0.61%,0.04%,0.04%,-0.17%,0.15,0.15,-0.58,0.15,100.23,"1,869.73","1,869.73","1,862.04",-509.42,2.96,655.36%,655.36%,72.64%,354.81%,1.21,1.66,-2.41%,-3.46%,-21.88%,-31.60%,5.30%,-1.00%,-530.00%,48.80%,44.88,-0.90%,-1.75%,-40.82%,0.11
Shrijanshil Laghubitta Bittiya Sanstha Limited,2025/26 Q3,"1,476.90","1,523.47",36.90,0.13%,2.85%,0.06%,-6.47%,-29.15%,"1,615,359,375.00","109,375.00","188,976.69","265,103.71","126,979.92","16,380.24",0.00,45.83%,5.78%,0.00%,49.62%,41.61%,49.78%,43.24%,0.00%,14.19%,9.94%,7.79%,52.01%,14.03%,0.73%,4.85%,1.27%,19.96,133.35,34.52,19.96,272.77,73.96,73.96,11.07,42.77,5.41,-8.31%,15.00%,90.12%,1011.66%,1.09,0.86,-2.29%,-3.27%,-19.96%,-28.39%,3.75%,-0.71%,-528.17%,41.14%,49.65,3.12%,-8.19%,-30.74%,-5.06
Barahi Hydropower Public Limited,2025/26 Q3,499.00,533.20,-22.00,7.01%,2.04%,-3.95%,-3.29%,-36.90%,"1,247,500,000.00","250,000.00","-124,930.46","23,794.38","22,135.79","-1,098.03",0.00,62.43%,17.84%,44.60%,3.51%,-108.89%,97.27%,11.65%,85.65%,31.55%,-29.16%,-1.16%,-10.84%,-6.68%,-0.47%,-4.36%,-2.67%,-0.58,-5.48,-3.49,-0.58,50.02,-852.09,-852.09,-90.98,-142.63,9.97,151.23%,125.32%,77.57%,253.94%,0.90,0.45,-2.68%,-3.81%,-27.04%,-39.49%,4.75%,-0.93%,-510.75%,5.23%,53.90,-1.54%,-11.46%,-38.42%,3.41
Unique Nepal Laghubitta Bittiya Sanstha Limited,2025/26 Q3,"1,257.90","1,515.23",20.90,-0.56%,-3.16%,-12.59%,-33.41%,-48.45%,"1,868,924,925.00","148,575.00","181,799.58","376,116.13","191,525.95","13,533.87",0.00,49.93%,101.56%,0.00%,-40.06%,-27.26%,49.52%,56.79%,0.00%,4.49%,4.17%,5.20%,-37.78%,5.43%,0.48%,-3.49%,0.55%,12.14,-88.19,13.82,12.14,222.36,103.56,103.56,-14.26,90.97,5.65,14.73%,8.96%,91.21%,1137.13%,0.79,0.49,-2.22%,-3.15%,-17.73%,-25.53%,3.99%,-1.26%,-316.67%,43.04%,40.01,-9.42%,-22.25%,-48.45%,0.00
Super Madi Hydropower Limited,2025/26 Q4,493.10,494.38,-6.90,-0.58%,4.91%,-0.18%,-11.95%,-51.35%,"10,872,855,000.00","2,315,250.00","451,432.24","1,330,432.29","1,299,931.55","425,993.10",0.00,105.24%,11.60%,93.64%,73.01%,46.15%,97.71%,7.17%,90.53%,66.64%,32.02%,15.92%,27.18%,16.72%,4.56%,7.79%,4.56%,18.39,31.41,18.39,18.39,119.49,26.79,26.79,15.69,26.79,4.12,651.24%,208.26%,72.93%,339.31%,0.94,0.70,-2.55%,-3.66%,-19.64%,-28.60%,5.44%,-1.47%,-370.07%,43.57%,53.79,1.08%,-15.09%,-52.80%,1.13
Shuvam Power Limited,2025/26 Q3,663.00,711.00,-17.00,-0.15%,0.61%,-7.66%,-19.83%,-30.85%,"1,326,000,000.00","200,000.00","2,222.79","15,701.77","12,897.85","12,233.31",0.00,55.40%,10.78%,44.62%,6.79%,-4.95%,80.89%,8.55%,114.59%,88.68%,64.78%,8.06%,-0.36%,6.70%,7.07%,-0.32%,5.83%,8.15,-0.36,6.59,8.15,101.11,81.29,81.29,"-1,809.27",100.56,6.55,878.20%,352.61%,16.52%,113.97%,0.97,0.87,-2.25%,-3.22%,-15.30%,-22.15%,3.81%,-0.70%,-544.29%,44.26%,46.96,-2.48%,-13.88%,-33.03%,0.73
